Problem,Specialist
"আমার হার্নিয়া অপারেশনের জন্য পরামর্শ প্রয়োজন।",Surgery
"আমার স্তনের চাকাটি পরীক্ষা করা দরকার।",Surgery
"আমার পাইলসের অপারেশন করা লাগবে কিনা জানতে চাই।",Surgery
"আমার ফিস্টুলার জন্য সার্জারি লাগবে।",Surgery
"আমার শরীরের টিউমারটি বায়োপসি করতে হবে।",Surgery
"আমার ভাঙা পায়ের জন্য প্লাস্টার করা হয়েছে।",Surgery
"আমার মাথায় সেলাই পড়েছে।",Surgery
"আমার কাটা হাতে সেলাই লাগবে।",S"urgery
"আমার ফোঁড়াটা পাকাতে হবে এবং অপারেশন করতে হবে।",Surgery
"আমার গলগণ্ডের অপারেশন কবে করা যাবে?",Surgery
"আমার অণ্ডকোষের ফোলাভাব কমানোর জন্য কি করতে হবে?",Surgery
"আমার প্রোস্টেটের অপারেশনের ব্যাপারে জানতে চাই।",Surgery
"আমার কিডনির পাথর অপসারণ করতে হবে।",Surgery
"আমার মূত্রনালীর পাথর ঔষধ দিয়ে বের হবে কিনা?",Surgery
"আমার নাভির ব্যথাটা কিসের জন্য হচ্ছে?",Surgery
"আমার কুঁচকির ব্যথাটা হার্নিয়ার জন্য কিনা সন্দেহ হচ্ছে।",Surgery
"আমার পায়খানার সাথে রক্ত যাওয়ার কারণ কি?",Surgery
"আমার পেটের ডান পাশের ব্যথাটা অ্যাপেন্ডিসাইটিসের কিনা?",Surgery
"আমার নাভি ফুলে যাওয়ার কারণ কি?",Surgery
"আমার বুকের ডান দিকের ব্যথাটা ফুসফুসের সমস্যা নাকি অন্য কিছু?",Surgery
"আমার পেটের চাকাটা কি ক্যান্সারের লক্ষণ?",Surgery
"আমার পায়খানার রাস্তার মাংসপিণ্ডটা কি পাইলস?",Surgery
"আমার পায়খানার রাস্তার ব্যথাটা ফিস্টুলার জন্য কিনা?",Surgery
"আমার পিঠের ফোঁড়াটা কি সাধারণ ফোঁড়া নাকি অন্য কিছু?",Surgery
"আমার ঘাড়ে টিউমার হয়েছে, এটা কি?",Surgery
"আমার হাতের তিলটা কি স্কিন ক্যান্সারের লক্ষণ?",Surgery
"আমার বুকের মাঝে ব্যথা হয় এবং তা মাঝে মাঝে বাঁ পাশে ছড়িয়ে পড়ে।",Surgery
"আমার পিঠে ছোট একটি গুটি হয়েছে যেটা ধীরে ধীরে বড় হচ্ছে।",Surgery
"আমার পা কেটে গেছে এবং রক্ত থামছে না।",Surgery
"আমার কনুইয়ের পাশে একটি শক্ত গাঁট অনুভব করছি।",Surgery
"আমার হিপ জয়েন্টে ব্যথা করে হাঁটতে কষ্ট হয়।",Surgery
"আমার শরীরের বিভিন্ন স্থানে ছোট ছোট চাকা হচ্ছে।",Surgery
"আমার গলায় একটি পিণ্ড হয়েছে, গিলতে কষ্ট হয়।",Surgery
"আমার নাকের পাশে একটি টিউমার হয়েছে।",Surgery
"আমার চোখের পাতার নিচে গুটি হয়েছে।",Surgery
"আমার পেটে ব্যথা উঠলে বমি হয়।",Surgery
"আমার চোয়ালের কাছে গাঁট বোধ হয়।",Surgery
"আমার ঘাড় ঘোরাতে গেলে ব্যথা হয়।",Surgery
"আমার হাঁটুতে ব্যথা এবং ফুলে গেছে।",Surgery
"আমার পেটের বাঁ পাশে গ্যাস জমে থাকে।",Surgery
"আমার পায়ুপথের পাশে ফাটল দেখা দিয়েছে।",Surgery
"আমার স্কিনে আঁচড় লাগলে সহজে শুকায় না।",Surgery
"আমার পায়ের গোড়ালিতে টিউমার দেখা যাচ্ছে।",Surgery
"আমার ডান চোখের উপরে একটি গুটি হয়েছে।",Surgery
"আমার ঘাড়ে গ্লান্ড ফুলে গেছে।",Surgery
"আমার কানের পেছনে ফোঁড়া হয়েছে।",Surgery
"আমার হাতে ব্যান্ডেজ খুলে আবার রক্ত পড়ছে।",Surgery
"আমার কোমরের হাড়ে তীব্র ব্যথা অনুভব করি।",Surgery
"আমার বুকের বাঁ দিকে চাকা হয়েছে।",Surgery
"আমার নাক দিয়ে মাঝে মাঝে রক্ত পড়ে।",Surgery
"আমার আঙুলে ব্যথা এবং নীল হয়ে গেছে।",Surgery
"আমার থাইয়ের কাছে টিউমার হয়েছে।",Surgery
"আমার সিজারিয়ান অপারেশনের সেলাইতে ব্যথা করছে।",Surgery
"আমার আগের অপারেশনের জায়গায় আবার ফোলাভাব হয়েছে।",Surgery
"আমার শরীরে পুরনো সেলাইয়ের জায়গায় ইনফেকশন হয়েছে।",Surgery
"আমার নখের পাশে পুঁজ জমেছে।",Surgery
"আমার হাটুর নিচে ফাঁটা অনুভব হয়।",Surgery
"আমার ডান পায়ের পাতা ফুলে গেছে।",Surgery
"আমার ঘাড়ের জয়েন্টে টান ধরে থাকে।",Surgery
"আমার মেরুদণ্ডে ব্যথা অনুভব করছি।",Surgery
"আমার হাটুতে তরল জমেছে বলে মনে হচ্ছে।",Surgery
"আমার পেটের নিচে তীব্র ব্যথা হয়।",Surgery
"আমার পেট কেটে অপারেশন হয়েছিল, এখন ব্যথা হয়।",Surgery
"আমার পায়ে প্লাস্টার দেওয়ার পর ব্যথা বেড়েছে।",Surgery
"আমার কোমরে হঠাৎ টান পড়ে যায়।",Surgery
"আমার পায়ের হাড় সোজা রাখতে ব্রেস লাগাতে হবে।",Surgery
"আমার কাঁধে ব্যথা হয়ে হাতে ছড়িয়ে পড়ে।",Surgery
"আমার পায়ুপথে রক্ত জমে গেছে।",Surgery
"আমার শরীরে কিছু অংশ অনুভব করতে পারছি না।",Surgery
"আমার হাতের আঙুল কেটে গেছে, সেলাই লাগবে।",Surgery
"আমার থুতনির নিচে গুটি হয়েছে।",Surgery
"আমার নখ উঠেছে, খুব ব্যথা করছে।",Surgery
"আমার হাটুর জয়েন্টে ইনফ্লামেশন হয়েছে।",Surgery
"আমার কোমরের হাড়ে ফাটল ধরা পড়েছে।",Surgery
"আমার সেলাইয়ের জায়গা দিয়ে পুঁজ বের হচ্ছে।",Surgery
"আমার পায়ের আঙুল ফোলা এবং লাল হয়ে আছে।",Surgery
"আমার পেটের তলদেশে চাপ পড়লে ব্যথা বাড়ে।",Surgery
"আমার পায়খানার রাস্তার পাশে একটি গুটি হয়েছে।",Surgery
"আমার শরীরের কোথাও আঘাত লাগলে অনেকদিন ব্যথা থাকে।",Surgery
"আমার ডান হাতে প্লাস্টার দেওয়ার পর নাড়াতে পারছি না।",Surgery
"আমার বুকের বাম দিকে চাপ অনুভব করছি।",Surgery
"আমার পিঠে হাড়ের পাশে ব্যথা শুরু হয়েছে।",Surgery
"আমার হাঁটু মোচড় খেয়েছে, খুব ব্যথা করছে।",Surgery
"আমার কোমর শক্ত হয়ে গেছে, বাঁকা হতে পারি না।",Surgery
"আমার আগের অপারেশনের জায়গায় নতুন করে ফোঁড়া হয়েছে।",Surgery
"আমার কানের নিচে গাঁট ফুলে গেছে।",Surgery
"আমার পেটের চামড়া শক্ত হয়ে গেছে অপারেশনের পর।",Surgery
"আমার গলার পাশে ইনফেকশন হয়েছে।",Surgery
"আমার বুকে হঠাৎ ব্যথা শুরু হয় এবং শ্বাস কষ্ট হয়।",Surgery
"আমার কোমরের ব্যথা নিচের দিকে ছড়িয়ে পড়ে।",Surgery
"আমার হাত ভেঙে যাওয়ার পর হাড় সোজা হচ্ছে না।",Surgery
"আমার কনুইয়ের হাড়ে ফাটল রয়েছে।",Surgery
"আমার বুকের ভেতর চাপ লাগে।",Surgery
"আমার পেটের বাম পাশে শক্ত কিছু অনুভব হয়।",Surgery
"আমার পায়ুপথে চুলকানি ও ব্যথা হয়।",Surgery
"আমার ডান হাঁটুর নিচে একটা গুটি বড় হচ্ছে।",Surgery
"আমার ঘাড়ে টান পড়ে নড়তে পারি না।",Surgery
"আমার মেরুদণ্ড বাঁকা হয়ে গেছে।",Surgery
"আমার সেলাইয়ের দাগ ফুলে উঠেছে।",Surgery
"আমার পেটের অপারেশনের জায়গা ব্যথা করছে।",Surgery
"আমার পিঠে পুঁজ জমেছে বলে মনে হচ্ছে।",Surgery
"আমার বাহুতে ব্যথা হয় ও ফুলে যায়।",Surgery
"আমার ঘাড়ের টিউমারটি বড় হয়ে যাচ্ছে।",Surgery
"আমার পায়ে হাঁচড়ে পড়ে ব্যথা পেয়েছি।",Surgery
"আমার পুরনো অপারেশনের জায়গা থেকে রক্ত পড়ছে।",Surgery
"আমার পায়খানার রাস্তার ফাটল বড় হয়ে গেছে।",Surgery
"আমার হাঁটু মোচড় খেয়ে লাফাতে পারছি না।",Surgery
"আমার পেট ফেটে গেছে, দ্রুত চিকিৎসা দরকার।",Surgery
"আমার নাভির পাশে চুলকানি এবং ব্যথা হচ্ছে।",Surgery
"আমার শরীরে গুটি হওয়া শুরু হয়েছে বিভিন্ন জায়গায়।",Surgery
"আমার হাতের কবজিতে ব্যথা হচ্ছে নিয়মিত।",Surgery
"আমার ডান কাঁধ ঘোরাতে পারছি না।",Surgery
"আমার বুকে দম আটকে যায় এমন অনুভব হয়।",Surgery
"আমার পায়ের গোড়ালি ব্যথা করছে হাঁটার সময়।",Surgery
"আমার কোমরে চাকা উঠেছে, তা টিপলে ব্যথা হয়।",Surgery
"আমার পিঠে টিউমার হয়েছে যেটা নড়াচড়া করছে।",Surgery
"আমার শরীরের টিউমারটা অপারেশন করে ফেলতে চাই।",Surgery
"আমার সেলাইয়ের চারপাশে ইনফেকশন দেখা দিয়েছে।",Surgery
"আমার হাতের কাটা জায়গায় পুঁজ জমেছে।",Surgery
"আমার পায়ুতে ইনফেকশন হয়েছে বলে মনে হচ্ছে।",Surgery
"আমার ডান পায়ের হাড়ে ব্যথা বাড়ছে।",Surgery
"আমার মেরুদণ্ডে টিউমার হয়েছে বলে সন্দেহ হচ্ছে।",Surgery
"আমার পেটে অসহ্য ব্যথা এবং এটি শক্ত হয়ে গেছে।",Surgery
"আমার অন্ত্রে প্যাঁচ লেগেছে বলে ডাক্তার জানিয়েছেন।",Surgery
"আমার বুকের ডানদিকে একটি ফোঁড়া হয়েছে।",Surgery
"আমার খাদ্যনালীতে বাধা ধরা পড়েছে।",Surgery
"আমার স্প্লিন ফেটে গেছে বলে সন্দেহ করা হচ্ছে।",Surgery
"মোটরসাইকেল দুর্ঘটনায় আমার কলারবোন ভেঙে গেছে।",Surgery
"আমার মস্তিষ্কে রক্তক্ষরণ হয়েছে।",Surgery
"আমার টনসিল খুব বেশি ফুলে গেছে এবং পুঁজ জমেছে।",Surgery
"আমার নাকের হাড় বেঁকে গেছে, নিঃশ্বাস নিতে কষ্ট হয়।",Surgery
"আমার ডিম্বাশয়ে একটি বড় সিস্ট হয়েছে।",Surgery
"আমার জরায়ুতে টিউমার ধরা পড়েছে।",Surgery
"আগুনে আমার হাত ও পায়ের চামড়া পুড়ে গেছে।",Surgery
"আমার ভ্যারিকোস ভেইনের সমস্যা খুব বেড়েছে।",Surgery
"ফুটবল খেলতে গিয়ে আমার লিগামেন্ট ছিঁড়ে গেছে।",Surgery
"আমার কানের পর্দা ফেটে গেছে।",Surgery
"আমার চোয়ালের হাড় সরে গেছে।",Surgery
"আমার মেরুদণ্ডের একটি ডিস্ক সরে গেছে।",Surgery
"আমার কিডনি প্রতিস্থাপন করতে হবে।",Surgery
"আমার পিত্তনালী ব্লক হয়ে গেছে।",Surgery
"আমার অগ্ন্যাশয়ে একটি পাথর ধরা পড়েছে।",Surgery
"আমার হাতের কব্জি ভেঙে গেছে।",Surgery
"আমার গোড়ালির জয়েন্ট মচকে গেছে এবং ফুলে গেছে।",Surgery
"আমার পুরোনো পোড়া জায়গায় ঘা হয়েছে।",Surgery
"আমার পেটের ভেতর রক্তক্ষরণ হচ্ছে।",Surgery
"আমার লিভারে একটি ফোড়া হয়েছে।",Surgery
"আমার মূত্রথলিতে একটি টিউমার পাওয়া গেছে।",Surgery
"আমার পাঁজরের একটি হাড় ভেঙে ফুসফুসে আঘাত করেছে।",Surgery
"আমার স্তনের বোঁটা দিয়ে রক্ত বের হচ্ছে।",Surgery
"আমার খাদ্যনালী ফুটো হয়ে গেছে।",Surgery
"আমার অণ্ডকোষের চারপাশে পানি জমেছে।",Surgery
"আমার মুখের ভেতরে একটি ঘা হয়েছে যা শুকোচ্ছে না।",Surgery
"আমার পাকস্থলীতে আলসার হয়ে রক্তপাত হচ্ছে।",Surgery
"আমার পায়ের রক্তনালী ব্লক হয়ে গেছে।",Surgery
"আমার ঘাড়ের পেছনে একটি চর্বির টিউমার (লাইপোমা) হয়েছে।",Surgery
"আমার হাতের আঙুলের জয়েন্ট খুলে গেছে।",Surgery
"আমার গলব্লাডার ফুলে গেছে এবং ব্যথা করছে।",Surgery
"আমার বৃহদন্ত্রে একটি পলিপ ধরা পড়েছে।",Surgery
"আমার শরীরের একটি তিল থেকে রক্তপাত হচ্ছে।",Surgery
"আমার ভাঙা হাড় ঠিকমতো জোড়া লাগছে না।",Surgery
"আমার কাঁধের জয়েন্ট বারবার ছুটে যাচ্ছে।",Surgery
"আমার নাকের পলিপাসের জন্য অপারেশন লাগবে।",Surgery
"আমার নবজাতকের ঠোঁট কাটা।",Surgery
"আমার শিশুর হৃদপিণ্ডে একটি ছিদ্র আছে।",Surgery
"আমার বাইপাস সার্জারির প্রয়োজন।",Surgery
"আমার মাথার খুলিতে ফাটল ধরেছে।",Surgery
"আমার অ্যাডrenal গ্রন্থিতে টিউমার হয়েছে।",Surgery
"আমার খাদ্যনালীর একটি অংশ সরু হয়ে গেছে।",Surgery
"আমার হাতের শিরায় ব্লক ধরা পড়েছে।",Surgery
"আমার পায়ের বুড়ো আঙুল বেঁকে ভেতরে ঢুকে যাচ্ছে।",Surgery
"আমার কারপাল টানেল সিন্ড্রোম হয়েছে, হাতে শক্তি পাই না।",Surgery
"আমার প্লীহা বড় হয়ে গেছে এবং অপারেশনের কথা বলা হয়েছে।",Surgery
"আমার মুখে একটি সিস্ট হয়েছে, যেটা থেকে পানি বের হয়।",Surgery
"আমার গলার ভেতর মাছের কাঁটা আটকে গেছে।",Surgery
"আমার মাংসপেশী ছিঁড়ে গেছে।",Surgery
"আমার হাঁটুর বাটি (patella) সরে গেছে।",Surgery
"আমার দাঁতের মাড়িতে একটি টিউমার হয়েছে।",Surgery
"আমার থাইরয়েড গ্রন্থি অতিরিক্ত ফুলে গেছে।",Surgery
"আমার মূত্রনালী সরু হয়ে গেছে।",Surgery
"আমার অন্ত্রের একটি অংশ পচে গেছে।",Surgery
"আমার শরীরের চামড়ার নিচে বাতাস জমেছে।",Surgery
"আমার শিরদাঁড়ার হাড়ে ইনফেকশন হয়েছে।",Surgery
"আমার চোখের ছানি অপারেশনের প্রয়োজন।",Surgery
"আমার রেটিনা ছিঁড়ে গেছে।",Surgery
"আমার গ্লুকোমার জন্য সার্জারি করতে হবে।",Surgery
"আমার কানের পেছনে একটি সিস্ট শক্ত হয়ে গেছে।",Surgery
"আমার জিহ্বার নিচে একটি গুটি হয়েছে।",Surgery
"আমার হাতের তালুতে একটি শক্ত পিণ্ড হয়েছে।",Surgery
"আমার পুরোনো কাটা দাগ ফুলে উঠেছে (কেলয়েড)।",Surgery
"আমার অ্যাপেন্ডিক্স অপারেশনের জায়গায় আবার ব্যথা করছে।",Surgery
"আমার সিজারের সেলাইয়ের জায়গা পেকে গেছে।",Surgery
"আমার পাইলস অপারেশনের পর আবার রক্ত যাচ্ছে।",Surgery
"আমার পিত্তথলি অপসারণের পর পেটে ব্যথা হয়।",Surgery
"আমার ভাঙা পায়ে লাগানো রড সরাতে হবে।",Surgery
"আমার মস্তিষ্কের টিউমার অপসারণ করতে হবে।",Surgery
"আমার মেরুদণ্ডে স্ক্রু লাগাতে হবে।",Surgery
"আমার কৃত্রিম হিপ জয়েন্ট লাগাতে হবে।",Surgery
"আমার হাঁটুর জয়েন্ট প্রতিস্থাপন করতে হবে।",Surgery
"আমার রক্তনালীতে স্টেন্ট পরাতে হবে।",Surgery
"আমার খাদ্যনালীর ক্যান্সার ধরা পড়েছে।",Surgery
"আমার ত্বকের ক্যান্সার হয়েছে বলে সন্দেহ করা হচ্ছে।",Surgery
"আমার পেটের ডান পাশে একটি চাকা অনুভূত হয়।",Surgery
"আমার পায়খানার রাস্তা দিয়ে মাংসপিণ্ড বেরিয়ে আসে।",Surgery
"আমার পায়খানার রাস্তায় খুব ব্যথা এবং জ্বালাপোড়া করে।",Surgery
"আমার পিঠে একটি বড় ফোঁড়া হয়েছে।",Surgery
"আমার ঘাড়ে একটি টিউমার হয়েছে।",Surgery
"আমার হাতের একটি বড় তিল দেখতে পরিবর্তন হচ্ছে।",Surgery
"আমার পায়ের আঙুলে ইনফেকশন হয়েছে।",Surgery
"আমার পেটে গ্যাস জমে এবং পেট ফুলে থাকে।",Surgery
"আমার হার্নিয়া অপারেশনের জন্য পরামর্শ প্রয়োজন।",Surgery
"আমার স্তনের চাকাটি পরীক্ষা করা দরকার।",Surgery
"আমার পাইলসের অপারেশন করা লাগবে কিনা জানতে চাই।",Surgery
"আমার ফিস্টুলার জন্য সার্জারি লাগবে।",Surgery
"আমার শরীরের টিউমারটি বায়োপসি করতে হবে।",Surgery
"আমার কাটা হাতে সেলাই লাগবে।",Surgery
"আমার গলগণ্ডের অপারেশন কবে করা যাবে?",Surgery
"আমার প্রোস্টেটের অপারেশনের ব্যাপারে জানতে চাই।",Surgery
"আমার কিডনির পাথর অপসারণ করতে হবে।",Surgery
"আমার পায়খানার সাথে রক্ত যাওয়ার কারণ কি?",Surgery
"আমার পেটের ডান পাশের ব্যথাটা অ্যাপেন্ডিসাইটিসের কিনা?",Surgery
"আমার বুকের মাঝখানে চাপ দিয়ে ব্যথা হয়, যা বাম হাতে ছড়িয়ে পড়ে।",Surgery
"আমার পাকস্থলী থেকে রক্তবমি হচ্ছে।",Surgery
"আমার মস্তিষ্কের পিটুইটারি গ্রন্থিতে টিউমার হয়েছে।",Surgery
"আমার খাদ্যনালীর ভালভ ঢিলে হয়ে গেছে, প্রায়ই এসিড রিফ্লাক্স হয়।",Surgery
"আমার হাতের স্নায়ু কেটে গেছে, আঙুল নাড়াতে পারছি না।",Surgery
"দুর্ঘটনায় আমার মুখের চোয়ালের হাড় ভেঙে গেছে।",Surgery
"আমার অণ্ডকোষে মোচড় লেগে তীব্র ব্যথা হচ্ছে।",Surgery
"আমার কিডনির উপরে অবস্থিত অ্যাড্রিনাল গ্রন্থিতে টিউমার হয়েছে।",Surgery
"আমার পায়ের পাতার হাড় ভেঙে টুকরো হয়ে গেছে।",Surgery
"আমার মেরুদণ্ডের হাড় ক্ষয় হয়ে স্নায়ুর উপর চাপ সৃষ্টি করছে।",Surgery
"আমার জন্মগতভাবে হৃদপিণ্ডের একটি ভালভ ঠিকভাবে তৈরি হয়নি।",Surgery
"আমার ব্রেইন টিউমারের জন্য গামা নাইফ সার্জারির কথা বলা হয়েছে।",Surgery
"আমার પગের শিরা ফুলে দড়ির মতো হয়ে গেছে এবং খুব ব্যথা করে।",Surgery
"আমার হাতের টেনডন ছিঁড়ে গেছে।",Surgery
"আমার কানের ভেতরের হাড়ের ইনফেকশন (ম্যাস্টয়েডাইটিস) হয়েছে।",Surgery
"আমার লালা গ্রন্থিতে পাথর হয়েছে, খাওয়ার সময় গাল ফুলে যায়।",Surgery
"আমার জরায়ুর বাইরে গর্ভধারণ (এক্টোপিক প্রেগন্যান্সি) হয়েছে।",Surgery
"আমার স্তন ক্যান্সারের জন্য পুরো স্তন ফেলে দিতে বলা হয়েছে।",Surgery
"আমার কোলন ক্যান্সার হয়েছে, অন্ত্রের কিছু অংশ কেটে ফেলতে হবে।",Surgery
"আমার নরম টিস্যুতে সারকোমা নামক টিউমার হয়েছে।",Surgery
"আমার ত্বকের মেলানোমা নামক ক্যান্সার হয়েছে যা দ্রুত ছড়াচ্ছে।",Surgery
"আমার থাইরয়েড ক্যান্সারের জন্য অপারেশন করতে হবে।",Surgery
"আমার লিভারের একটি অংশ টিউমারের জন্য কেটে ফেলতে হবে।",Surgery
"আমার অগ্ন্যাশয়ের মাথাতে ক্যান্সার হওয়ায় হুইপল অপারেশন লাগবে।",Surgery
"আমার মেরুদণ্ডের ডিস্ক প্রোলাপ্স হয়ে পায়ে অবশ লাগছে।",Surgery
"আমার গর্ভাশয়ের দেয়ালে ফাইব্রয়েড টিউমার হয়েছে।",Surgery
"আমার এন্ডোমেট্রিওসিসের সমস্যা তীব্র আকার ধারণ করেছে।",Surgery
"আমার যোনিপথে সিস্ট হয়েছে।",Surgery
"আমার শিশুর জন্মের সময় মাথার হাড় একটির উপর আরেকটি উঠে গেছে।",Surgery
"আমার শিশুর খাদ্যনালী জন্মগতভাবে বন্ধ।",Surgery
"আমার শিশুর অন্ত্রের একটি অংশ সঠিকভাবে বিকশিত হয়নি।",Surgery
"আমার শিশুর স্পাইনা বিফিডা নামক জন্মগত ত্রুটি রয়েছে।",Surgery
"আমার শিশুর অণ্ডকোষ থলিতে নেমে আসেনি।",Surgery
"আমার শিশুর পাইলোরিক স্টেনোসিস হয়েছে, খাওয়ার পরেই বমি করে দেয়।",Surgery
"আমার কিডনি ডায়ালাইসিসের জন্য ফিস্টুলা তৈরি করতে হবে।",Surgery
"আমার পায়ের ধমনী পুরোপুরি বন্ধ হয়ে গেছে, বাইপাস সার্জারি লাগবে।",Surgery
"আমার ঘাড়ের ক্যারোটিড ধমনীতে ব্লক ধরা পড়েছে।",Surgery
"আমার বুকের মহাধমনী (aorta) ফুলে গেছে এবং ফেটে যাওয়ার ঝুঁকি আছে।",Surgery
"আমার হৃদপিণ্ডের করোনারি ধমনীতে একাধিক ব্লক আছে।",Surgery
"আমার হার্টের ভালভ প্রতিস্থাপন করতে হবে।",Surgery
"আমার পেসমেকার লাগাতে হবে।",Surgery
"আমার ফুসফুসের একটি অংশে ক্যান্সার ছড়িয়ে পড়েছে।",Surgery
"আমার ফুসফুসের চারপাশে বাতাস জমে চুপসে গেছে।",Surgery
"আমার ফুসফুসে পুঁজ জমেছে, যা অপারেশন করে বের করতে হবে।",Surgery
"আমার খাদ্যনালীর নিচের অংশ শক্ত হয়ে গেছে (অ্যাকালেসিয়া কার্ডিয়া)।",Surgery
"আমার অন্ত্রের বিভিন্ন জায়গায় ঘা হয়ে গেছে (ক্রোন'স ডিজিজ)।",Surgery
"আমার পায়ুপথের ভেতরে টিউমার হয়েছে।",Surgery
"আমার পাকস্থলীর একটি অংশ হার্নিয়া হয়ে বুকের ভেতর ঢুকে গেছে।",Surgery
"আমার নাভি দিয়ে অন্ত্রের অংশ বেরিয়ে আসছে।",Surgery
"আমার আগের সিজারের জায়গায় হার্নিয়া হয়েছে।",Surgery
"আমার অন্ত্রের দুটি অংশ একে অপরের সাথে লেগে গেছে (অ্যাডhesion)।",Surgery
"আমার মূত্রথলি সম্পূর্ণ অপসারণ করতে হবে (সিস্টেক্টমি)।",Surgery
"আমার মূত্রনালী আঘাত পেয়ে ছিঁড়ে গেছে।",Surgery
"আমার প্রোস্টেট ক্যান্সারের জন্য প্রোস্টেট ফেলে দিতে হবে।",Surgery
"আমার মূত্রথলি থেকে কিডনি পর্যন্ত সংযোগকারী নালী (ইউরেটার) ব্লক হয়ে গেছে।",Surgery
"আমার টরিচেল্লি'স সিস্ট হয়েছে, অণ্ডকোষের ওপরে একটি পিণ্ড আছে।",Surgery
"আমার লিভারে সিরোসিস হওয়ায় লিভার প্রতিস্থাপন প্রয়োজন।",Surgery
"আমার অগ্ন্যাশয়ে তীব্র প্রদাহ হয়ে পচন ধরেছে।",Surgery
"আমার পিত্তরস নিঃসরণের পথ বন্ধ হয়ে জন্ডিস হয়েছে।",Surgery
"আমার প্লীহা ফেটে পেটের ভেতর রক্তক্ষরণ হচ্ছে।",Surgery
"আমার হাতের কনুইয়ের জয়েন্ট স্থানচ্যুত হয়েছে।",Surgery
"আমার হাঁটুতে ACL লিগামেন্ট ছিঁড়ে গেছে।",Surgery
"আমার কোমরের হাড় (হিপ) সম্পূর্ণ প্রতিস্থাপন করতে হবে।",Surgery
"আমার হাড়ের ভেতরে ইনফেকশন হয়ে গেছে (অস্টিওমায়েলাইটিস)।",Surgery
"আমার হাড়ের মধ্যে টিউমার হয়েছে।",Surgery
"আমার হাতের আঙুলের স্নায়ু চাপে অবশ হয়ে যাচ্ছে।",Surgery
"আমার মাথার খুলির ভেতরে রক্ত জমাট বেঁধে আছে।",Surgery
"আমার মেরুদণ্ডে আঘাত পেয়ে পা দুটি অবশ হয়ে গেছে।",Surgery
"আমার মস্তিষ্কের হাইড্রোসেফালাস হয়েছে, পানি জমে মাথা বড় হয়ে যাচ্ছে।",Surgery
"আমার চোখের চাপ (গ্লুকোমা) কমাতে সার্জারি লাগবে।",Surgery
"আমার চোখের কর্নিয়া প্রতিস্থাপন করতে হবে।",Surgery
"আমার চোখের পাতা ভেতরে দিকে বেঁকে গেছে, পাপড়ি চোখে লাগে।",Surgery
"আমার নেত্রনালী বন্ধ হয়ে গেছে, চোখ দিয়ে অনবরত পানি পড়ে।",Surgery
"আমার কানের ভেতরের হাড়গুলো শক্ত হয়ে গেছে (অটোস্ক্লেরোসিস), কানে কম শুনি।",Surgery
"আমার সাইনাসের সমস্যা এত বেশি যে এন্ডোস্কোপিক সার্জারি লাগবে।",Surgery
"আমার গলার স্বরযন্ত্রে পলিপ হয়েছে।",Surgery
"আমার জিহ্বার একটি বড় অংশ ক্যান্সারের জন্য কেটে ফেলতে হয়েছে।",Surgery
"আমার দুর্ঘটনার পর মুখমণ্ডল পুনর্গঠন করতে হবে।",Surgery
"আমার গভীর ক্ষতের জন্য স্কিন গ্রাফটিং প্রয়োজন।",Surgery
