Problem,Specialist
"আমার বুক অনেক জ্বালা পুড়া করে",Cardiologist
"আমার বুকে অনেক প্রেসার পরে আর ব্যথা করে",Cardiologist
"আমার আব্বুর বুকে অনেক ব্যথা করে আর তখন শ্বাস নিতে কষ্ট হয়",Cardiologist
"আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় কিছু অনেক ভাড়ি কিছু চাপ দিচ্ছে বুকে।",Cardiologist
"আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় কিছু অনেক ভাড়ি কিছু অনেক জোরে চাপ দিচ্ছে বুকে।",Cardiologist
"আমার মেয়ের মাঝে মাঝে বুকে ব্যথা হয়, শরীর দুর্বল লাগে আর সাথে মাথা ঘুরে।",Cardiologist
"কালকে থেকে বুকে চিন চিন ব্যথা অনুভব করছি ",Cardiologist
"বিগত কয়েক বেলা আমার অনেক বুকে ব্যথা হচ্ছে",Cardiologist
"আমার দাদার বুকে অনেক ব্যথা করে শ্বাস নিতে কষ্ট হয়। দাদার ওপেন হার্ট সার্জারি হয়েছিলো গত ২ বছর আগে। কিন্তু এখনো ব্যথা কমছে না।",Cardiologist
"আমার দাদুর হাঁপানি আছে আর সিঁড়ি বেয়ে উঠলেই শ্বাস কষ্ট হয় অনেক",Cardiologist
"আমার অনেক শ্বাসকষ্ট হয়। বেশিক্ষন কোনো কাজ করতে পারি না",Cardiologist
"আমার দাদুর প্রচন্ড বুকে ব্যথা করে আর জোরে হাঁটতে গেলে বুক ধরফর করে",Cardiologist
"আমার দাদুর হার্টে খুব দুর্বল। বেশি কোনো টেনশন নিতে পারে না। অনেক অস্থির হয়ে যায়",Cardiologist
"আমার মায়ের বুক অনেক যন্ত্রণা করে তখন একদমই শ্বাস নিতে পারেন না। ঘামতে থাকেন",Cardiologist
"আমার দাদার অনেক বুকে ব্যথা হয় সিঁড়ি বেয়ে উঠতে গেলে শ্বাস নিতে পারেন না",Cardiologist
"আমার মাঝে মাঝেই বুক জ্বালা পুড়া করে বমি ভাব হয়",Cardiologist
"আমার বুকে অনেক ভাড়ি কিছু চাপ দেয় আর ব্যথা করে",Cardiologist
"আমার বুকে অনেক ব্যথা করে",Cardiologist
"আমার আম্মুর হঠাৎ করে বুকে ব্যথা শুরু হয় শ্বাস নিতে খুব কষ্ট হয় তখন আম্মুর",Cardiologist
"আমার মেয়ে বেশিক্ষন হাঁটলে হাঁপাতে থাকে বুকে ব্যথা পায়",Cardiologist
"আমার মায়ের বুক অনেক জ্বালা পুড়া করে। অনেক ভাড়ি কিছু চাপ দেয় বুকে।",Cardiologist
"আমার বাবার বুকে ব্যথা শুরু হলে প্রায় কয়েক মিনিটের মত এই ব্যথা থাকে তখন শ্বাস নিতে অনেক কষ্ট হয়",Cardiologist
"আমার মেয়ের অনেক বুকে ব্যথা করে আর শ্বাস নিতে কষ্ট হয় অনেক তখন",Cardiologist
"আমার বাবার হঠাৎ করে বুকে ব্যথা হয় অনেক আর বাবার তখন হাত-পা ঠান্ডা হয়ে আসে।",Cardiologist
"আমার মেয়ের হঠাৎ করে বুকে ব্যথা হয় অনেক ",Cardiologist
"আমার ছেলের অনেক বুকে ব্যথা হয় কাশি দেওয়ার সময় বুকে অনেক ব্যথা করে",Cardiologist
"আমার মায়ের অনেক বুকে ব্যথা হয় কাশি দেওয়ার সময় বুকে অনেক ব্যথা করে। আর আম্মুর শরীর অনেক দূর্বল হয়ে গিয়েছে।",Cardiologist
"আমার বুকে একটা চাপা ব্যথা অনুভব করছি, মনে হচ্ছে কেউ বুকটা চেপে ধরেছে।",Cardiologist
"হাঁটাচলা করলে বা সিঁড়ি দিয়ে উঠলে আমার বুকের বাম দিকে ব্যথা হয়।",Cardiologist
"আমার বুকের ব্যথাটা চোয়াল এবং বাম হাতে ছড়িয়ে পড়ছে।",Cardiologist
"বুক ধড়ফড় করার সাথে সাথে আমার শ্বাস নিতেও কষ্ট হয়।",Cardiologist
"আমি রাতে ঘুমাতে পারি না, শ্বাস বন্ধ হয়ে আসে।",Cardiologist
"সামান্য পরিশ্রমে আমি অনেক বেশি হাঁপিয়ে যাই।",Cardiologist
"আমার রক্তচাপ সবসময় বেশি থাকে, ঔষধ খেয়েও নিয়ন্ত্রণে থাকছে না।",Cardiologist
"মাথা ঘোরানোর সাথে সাথে আমার চোখে ঝাপসাও দেখি।",Cardiologist
"আমার পা এবং গোড়ালি ফুলে গেছে, জুতা পরতে পারছি না।",Cardiologist
"বুকের মাঝখানে জ্বালাপোড়া করে, মনে হয় এসিড 올라 আসছে।",Cardiologist
"আমার হার্টবিট মাঝে মাঝে খুব দ্রুত চলে, আবার মাঝে মাঝে খুব ধীরে।",Cardiologist
"ব্যায়াম করার সময় আমার বুকে ব্যথা শুরু হয় এবং কিছুক্ষণ বিশ্রাম নিলে কমে যায়।",Cardiologist
"আমার পরিবারে হৃদরোগের ইতিহাস আছে, তাই আমি চিন্তিত।",Cardiologist
"আমার ডায়াবেটিস আছে এবং ইদানিং বুকে ব্যথাও হচ্ছে।",Cardiologist
"আমার ওজন অনেক বেশি এবং ডাক্তার বলেছেন হৃদরোগের ঝুঁকি আছে।",Cardiologist
"ধূমপানের অভ্যাস আছে এবং এখন বুকে ব্যথা অনুভব করছি।",Cardiologist
"আমার কোলেস্টেরলের মাত্রা অনেক বেশি।",Cardiologist
"গত মাসে আমার একবার হার্ট অ্যাটাক হয়েছিল।",Cardiologist
"আমার হার্টে রিং পরানো আছে, কিন্তু এখনও মাঝে মাঝে বুকে ব্যথা হয়।",Cardiologist
"অল্পতেই আমি খুব ক্লান্ত হয়ে পড়ি, কোনো কাজ করতে শক্তি পাই না।",Cardiologist
"আমার নিঃশ্বাস নিতে কষ্ট হয়, বিশেষ করে রাতে।",Cardiologist
"আমার বুক ধড়ফড় করে এবং সাথে ঘামও হয়।",Cardiologist
"মাথা ঘুরে পড়ে যাওয়ার মত অবস্থা হয়।",Cardiologist
"বুকের ব্যথাটা কয়েক মিনিট স্থায়ী হয় এবং তারপর নিজে থেকেই চলে যায়।",Cardiologist
"আমার ঘুমের মধ্যে দম বন্ধ হয়ে জেগে উঠি।",Cardiologist
"আমার উচ্চ রক্তচাপের কারণে ডাক্তার দেখাতে এসেছি।",Cardiologist
"আমার হার্টবিট মাঝে মাঝে অনিয়মিত হয়ে যায়।",Cardiologist
"বুকের ব্যথার সাথে আমার বমি বমি ভাবও হয়।",Cardiologist
"আমার গোড়ালির ফোলাটা সকালের দিকে কমে যায়, কিন্তু দিনের শেষে আবার বেড়ে যায়।",Cardiologist
"আমার নিঃশ্বাসের সাথে সাঁই সাঁই শব্দ হয়।",Cardiologist
"আমি প্রায়ই অজ্ঞান হয়ে যাই।",Cardiologist
"আমার শরীর খুব দুর্বল লাগে এবং কোনো কিছুতেই মনোযোগ দিতে পারি না।",Cardiologist
"আমার বুকে সুঁচ ফোটানোর মত ব্যথা হয়।",Cardiologist
"আমার ঠোঁট এবং জিহ্বা নীল হয়ে যায়।",Cardiologist
"আমার বুকের এক্স-রে তে হার্ট বড় এসেছে।",Cardiologist
"ইসিজি রিপোর্টে সমস্যা ধরা পড়েছে।",Cardiologist
"আমার ইকোকার্ডিওগ্রাম করতে বলা হয়েছে।",Cardiologist
"আমার এনজিওগ্রাম করা দরকার।",Cardiologist
"আমার বাইপাস সার্জারি হয়েছিল, এখন ফলো-আপের জন্য এসেছি।",Cardiologist
"আমার পেসমেকার লাগানো আছে।",Cardiologist
"আমার হার্টের ভাল্ভে সমস্যা আছে।",Cardiologist
"আমার জন্মগত হৃদরোগ আছে।",Cardiologist
"আমার বাতজ্বর হয়েছিল এবং ডাক্তার বলেছেন হার্টের সমস্যা হতে পারে।",Cardiologist
"আমার রক্তে চর্বির পরিমাণ বেশি।",Cardiologist
"আমি প্রায়ই দুঃস্বপ্ন দেখি এবং বুক ধড়ফড় করে জেগে উঠি।",Cardiologist
"আমার হাত ও পায়ের নখ নীল হয়ে যাচ্ছে।",Cardiologist
"আমার বুকে ভারী কিছু চাপ দেওয়ার মত অনুভূতি হয়।",Cardiologist
"আমার শ্বাস নিতে কষ্ট হয় এবং শুয়ে থাকলে আরও বেড়ে যায়।",Cardiologist
"আমার কাশির সাথে রক্তও বের হয়।",Cardiologist
"আমার বুকের ডান দিকেও মাঝে মাঝে ব্যথা হয়।",Cardiologist
"আমার ঘাড়ের রগ ফুলে ওঠে।",Cardiologist
"আমার পেটে পানি জমেছে।",Cardiologist
"আমার প্রস্রাবের পরিমাণ কমে গেছে।",Cardiologist
"আমি অল্পতেই রেগে যাই এবং তখন আমার বুকে ব্যথা হয়।",Cardiologist
"আমার যৌন ক্ষমতা কমে গেছে।",Cardiologist
"আমার স্মৃতিশক্তি কমে যাচ্ছে।",Cardiologist
"আমার পায়ে ঘা হয়েছে যা শুকাচ্ছে না।",Cardiologist
"আমার পায়ের শিরা ফুলে গেছে।",Cardiologist
"আমার বুকের খাঁচাটা দেখতে অস্বাভাবিক লাগে।",Cardiologist
"আমার নাড়ির গতি খুব দ্রুত।",Cardiologist
"আমার নাড়ির গতি খুব ধীর।",Cardiologist
"আমার রক্তচাপ মাপার যন্ত্রে রিডিং ওঠানামা করে।",Cardiologist
"আমার জিহ্বার নিচে ঔষধ দিয়েও বুকের ব্যথা কমছে না।",Cardiologist
"আমার বুকের ব্যথাটা পিঠের দিকেও যায়।",Cardiologist
"আমি সিঁড়ি দিয়ে একতলা উঠলেই হাঁপিয়ে যাই।",Cardiologist
"আমার ঘুমের মধ্যে নাক ডাকার অভ্যাস আছে।",Cardiologist
"আমার ওজন কমাতে বলা হয়েছে।",Cardiologist
"আমার লবণ খাওয়া নিষেধ।",Cardiologist
"আমার গরুর মাংস খাওয়া নিষেধ।",Cardiologist
"আমার নিয়মিত ব্যায়াম করার কথা বলা হয়েছে।",Cardiologist
"আমার মানসিক চাপ কমাতে বলা হয়েছে।",Cardiologist
"আমার ধূমপান ছাড়তে বলা হয়েছে।",Cardiologist
"আমার অ্যালকোহল পান করা নিষেধ।",Cardiologist
"আমার রক্তে শর্করার মাত্রা বেশি।",Cardiologist
"আমার থাইরয়েডের সমস্যা আছে।",Cardiologist
"আমার কিডনির সমস্যা আছে।",Cardiologist
"আমার রক্তশূন্যতা আছে।",Cardiologist
"আমার গর্ভকালীন অবস্থায় উচ্চ রক্তচাপ হয়েছিল।",Cardiologist
"আমার মেনোপজের পর থেকে হৃদরোগের ঝুঁকি বেড়েছে।",Cardiologist
"আমার ঘন ঘন প্রস্রাব হয়।",Cardiologist
"আমার রাতেหลายবার প্রস্রাব করতে উঠতে হয়।",Cardiologist
"আমার পায়ে ঝিনঝিন করে।",Cardiologist
"আমার পা অবশ হয়ে যায়।",Cardiologist
"আমার বুকে ব্যথার সাথে ঘাম এবং বমি হয়।",Cardiologist
"আমার বুকের ব্যথাটা বিশ্রামে কমে না।",Cardiologist
"আমার হার্ট অ্যাটাকের লক্ষণগুলো দেখা যাচ্ছে।",Cardiologist
"আমার স্ট্রোক হয়েছিল।",Cardiologist
"আমার একপাশ অবশ হয়ে গেছে।",Cardiologist
"আমার কথা বলতে কষ্ট হয়।",Cardiologist
"আমার মুখ বেঁকে গেছে।",Cardiologist
"আমার চোখে দেখার সমস্যা হচ্ছে।",Cardiologist
"আমার হঠাৎ করে তীব্র মাথা ব্যথা শুরু হয়েছে।",Cardiologist
"আমার জ্ঞান হারানোর মত অবস্থা।",Cardiologist
"আমার জরুরি চিকিৎসা প্রয়োজন।",Cardiologist
"আমার বুকে ব্যথার জন্য হাসপাতালে ভর্তি ছিলাম।",Cardiologist
"আমার করোনারি আর্টারি ডিজিজ আছে।",Cardiologist
"আমার হার্ট ফেইলিওর হয়েছে।",Cardiologist
"আমার অ্যারিথমিয়া আছে।",Cardiologist
"আমার কার্ডিওমায়োপ্যাথি আছে।",Cardiologist
"আমার পেরিকার্ডাইটিস হয়েছে।",Cardiologist
"আমার এন্ডোকার্ডাইটিস হয়েছে।",Cardiologist
"আমার মায়োকার্ডাইটিস হয়েছে।",Cardiologist
"আমার অ্যাওর্টিক অ্যানিউরিজম আছে।",Cardiologist
"আমার ডিপ ভেইন থ্রম্বোসিস হয়েছে।",Cardiologist
"আমার পালমোনারি এম্বোলিজম হয়েছিল।",Cardiologist
"আমার পেরিফেরাল আর্টারি ডিজিজ আছে।",Cardiologist
"আমার রেনাল আর্টারি স্টেনোসিস আছে।",Cardiologist
"আমার ক্যারোটিড আর্টারি ডিজিজ আছে।",Cardiologist
"আমার হার্টের ভাল্ভ রিপ্লেসমেন্ট করা হয়েছে।",Cardiologist
"আমার হার্টের ভাল্ভ রিপেয়ার করা হয়েছে।",Cardiologist
"আমার অ্যাবলেশন থেরাপি করা হয়েছে।",Cardiologist
"আমার কার্ডিয়াক রিহ্যাবিলিটেশন চলছে।",Cardiologist
"আমার জীবনযাত্রায় পরিবর্তন আনতে বলা হয়েছে।",Cardiologist
"আমার খাদ্যতালিকায় পরিবর্তন আনতে বলা হয়েছে।",Cardiologist
"আমার নিয়মিত চেকআপের জন্য আসতে বলা হয়েছে।",Cardiologist
"আমার ঔষধগুলো ঠিকমত কাজ করছে কিনা তা দেখতে এসেছি।",Cardiologist
"আমার ঔষধের পার্শ্বপ্রতিক্রিয়া হচ্ছে।",Cardiologist
"আমার নতুন কোনো ঔষধ শুরু করার আগে ডাক্তারের পরামর্শ নিতে এসেছি।",Cardiologist
"আমার বুকে ব্যথা হলে কি করতে হবে তা জানতে এসেছি।",Cardiologist
"আমার হৃদরোগ প্রতিরোধের জন্য কি কি করতে হবে তা জানতে এসেছি।",Cardiologist
"আমার পরিবারের সদস্যদের হৃদরোগের ঝুঁকি আছে কিনা তা জানতে এসেছি।",Cardiologist
"আমার হৃদরোগের ঝুঁকি কমানোর জন্য কি কি পরীক্ষা করা দরকার তা জানতে এসেছি।",Cardiologist
"আমার হৃদরোগ সম্পর্কে আরও বিস্তারিত জানতে এসেছি।",Cardiologist
"আমার বুকের ধড়ফড়ানিটা হঠাৎ করেই শুরু হয়, আবার হঠাৎ করেই থেমে যায়।",Cardiologist
"মাঝে মাঝে মনে হয় আমার হার্টবিট একটা বা দুটো মিস করেছে।",Cardiologist
"উত্তেজিত হলে বা ভয় পেলে আমার বুক ধড়ফড় করার সমস্যাটা বেড়ে যায়।",Cardiologist
"আমার বাম কাঁধে একটা চিনচিনে ব্যথা হয়।",Cardiologist
"শুয়ে থাকলে আমার শ্বাসকষ্টটা বেশি মনে হয়।",Cardiologist
"আমার জিহ্বার নিচে একটা ঘা হয়েছে, মনে হচ্ছে এটা হার্টের সমস্যার কারণে।",Cardiologist
"আমার প্রায়ই বদহজম হয় এবং বুকে জ্বালাপোড়া করে।",Cardiologist
"আমার ইসিজি রিপোর্টে সামান্য পরিবর্তন দেখা গেছে।",Cardiologist
"আমার ট্রেডমিল টেস্ট করতে হবে।",Cardiologist
"আমার হল্টার মনিটরিং করতে বলা হয়েছে।",Cardiologist
"আমার বুকের সিটি স্ক্যান করা হয়েছে।",Cardiologist
"আমার কার্ডিয়াক এমআরআই করতে হবে।",Cardiologist
"আমার ব্লাড সুগার লেভেল সবসময় বেশি থাকে।",Cardiologist
"আমার পায়ে পানি আসার সাথে সাথে মুখেও পানি আসে।",Cardiologist
"আমার প্রস্রাবের সাথে প্রোটিন যায়।",Cardiologist
"আমার কিডনি ঠিকমত কাজ করছে না।",Cardiologist
"আমার লিভারেও চর্বি জমেছে।",Cardiologist
"আমার চোখে ঝাপসা দেখার সমস্যাটা দিন দিন বাড়ছে।",Cardiologist
"আমার পিঠের উপরের অংশে একটা চাপ অনুভব করি।",Cardiologist
"আমার নিঃশ্বাস নিতে গেলে বুকে শব্দ হয়।",Cardiologist
"আমার কাশির সাথে সবুজ বা হলুদ কফ বের হয়।",Cardiologist
"আমার জ্বর আছে এবং শরীর খুব দুর্বল।",Cardiologist
"আমার বুকে ব্যথার সাথে মৃত্যুভয়ও কাজ করে।",Cardiologist
"আমার মনে হয় আমি скоро মারা যাবো।",Cardiologist
"আমার জীবনটা অর্থহীন মনে হয়।",Cardiologist
"আমার কারো সাথে কথা বলতে ইচ্ছা করে না।",Cardiologist
"আমি একা থাকতে পছন্দ করি।",Cardiologist
"আমার সামাজিক অনুষ্ঠানে যেতে ভয় করে।",Cardiologist
"আমার বুকে ব্যথার জন্য আমি আমার স্বাভাবিক কাজ করতে পারছি না।",Cardiologist
"আমার হৃদরোগের কারণে আমার চাকরি চলে গেছে।",Cardiologist
"আমার হৃদরোগের কারণে আমার দাম্পত্য জীবনে সমস্যা হচ্ছে।",Cardiologist
"আমার হৃদরোগের কারণে আমি আমার সন্তানদের সাথে খেলতে পারি না।",Cardiologist
"আমার হৃদরোগের কারণে আমি আমার শখগুলো পূরণ করতে পারছি না।",Cardiologist
"আমার হৃদরোগের কারণে আমি সব সময় ভয়ের মধ্যে থাকি।",Cardiologist
"আমার হৃদরোগের কারণে আমি আমার ভবিষ্যৎ নিয়ে খুব চিন্তিত।",Cardiologist
"আমার হৃদরোগের কারণে আমি আমার জীবনের ওপর নিয়ন্ত্রণ হারিয়ে ফেলেছি।",Cardiologist
"আমার হৃদরোগের কারণে আমি নিজেকে খুব অসহায় মনে করি।",Cardiologist
"আমার হৃদরোগের কারণে আমি ঈশ্বরের ওপর বিশ্বাস হারিয়ে ফেলেছি।",Cardiologist
"বুকের বাম পাশে মাঝে মাঝে সুঁচ ফোটার মতো ব্যাথা করে।",Cardiologist
"আমার শ্বাস নিতে কষ্ট হয়, যেন বুকে কিছু আটকে আছে।",Cardiologist
"একটু দৌড়ালেই আমার বুক ধড়ফড় করে।",Cardiologist
"আমার রক্তচাপ মাঝে মাঝে খুব বেড়ে যায়।",Cardiologist
"প্রায়ই আমার মাথা ঘোরে এবং চোখে অন্ধকার দেখি।",Cardiologist
"আমার পায়ে পানি জমে ফুলে গেছে।",Cardiologist
"বুকের মাঝখানে জ্বালাপোড়ার অনুভূতি হয়।",Cardiologist
"আমার হার্টবিট মাঝে মাঝে খুব দ্রুত হয়ে যায়।",Cardiologist
"আমার বাবার হার্টের সমস্যা ছিল, তাই ভয় পাচ্ছি।",Cardiologist
"ডায়াবেটিসের সাথে এখন বুকে চাপও অনুভব করছি।",Cardiologist
"ওজন বেশি হওয়ায় ডাক্তার হৃদরোগের ঝুঁকি বলেছেন।",Cardiologist
"ধূমপান করি, এখন বুকে চিনচিনে ব্যাথা হয়।",Cardiologist
"আমার রক্তে কোলেস্টেরলের মাত্রা বেশি।",Cardiologist
"একবার হার্ট অ্যাটাক হয়েছিল, এখন ফলোআপে এসেছি।",Cardiologist
"রিং পরানোর পরেও আমার বুকে ব্যাথা কমে নি।",Cardiologist
"সামান্য কাজেই আমি খুব ক্লান্ত হয়ে যাই।",Cardiologist
"রাতে ঘুমের মধ্যে আমার শ্বাস বন্ধ হয়ে আসে।",Cardiologist
"বুক ধড়ফড়ের সাথে আমার প্রচুর ঘাম হয়।",Cardiologist
"মাথা ঘুরে পড়ে যাওয়ার মতো অবস্থা হয়েছিল।",Cardiologist
"আমার পায়ের পাতা দুটো সব সময় ঠান্ডা থাকে।",Cardiologist
"বুকের ব্যাথাটা কিছু সময় থেকে আবার চলে যায়।",Cardiologist
"ঘুমের মধ্যে দম বন্ধ হয়ে আমার ঘুম ভেঙে যায়।",Cardiologist
"উচ্চ রক্তচাপের জন্য ডাক্তারের পরামর্শ নিতে এসেছি।",Cardiologist
"আমার হার্টবিট মাঝে মাঝে অনিয়মিত লাগে।",Cardiologist
"বুকের ব্যাথার সাথে আমার বমি ভাবও হচ্ছে।",Cardiologist
"সকালে পায়ের ফোলা কম থাকে, কিন্তু দিন শেষে বেড়ে যায়।",Cardiologist
"আমার শ্বাসের সাথে একটা অদ্ভুত শব্দ হয়।",Cardiologist
"মাঝে মাঝেই আমি অজ্ঞান হয়ে যাই।",Cardiologist
"শরীর এতো দুর্বল যে কোনো কিছুতেই মন বসে না।",Cardiologist
"বুকে এমনভাবে ব্যাথা করে যেন কেউ সুই দিয়ে খোঁচা দিচ্ছে।",Cardiologist
"বুকের এক্স-রে তে দেখা গেছে আমার হার্টটা বড় হয়ে গেছে।",Cardiologist
"ইসিজি রিপোর্টে ডাক্তার কিছু সমস্যা পেয়েছেন।",Cardiologist
"ডাক্তার আমাকে ইকোকার্ডিওগ্রাম করার পরামর্শ দিয়েছেন।",Cardiologist
"আমার এনজিওগ্রাম করতে হবে।",Cardiologist
"আমার বাইপাস সার্জারির পর এখন কেমন আছি তা দেখাতে এসেছি।",Cardiologist
"আমার শরীরে পেসমেকার লাগানো আছে।",Cardiologist
"আমার হার্টের ভাল্ভে একটা সমস্যা ধরা পড়েছে।",Cardiologist
"আমার জন্ম থেকেই হার্টে একটা ছিদ্র আছে।",Cardiologist
"আমার ছোটবেলায় বাতজ্বর হয়েছিল।",Cardiologist
"আমার রক্তে চর্বির মাত্রা অনেক বেশি।",Cardiologist
"রাতে দুঃস্বপ্ন দেখে বুক ধড়ফড় করে ঘুম ভেঙে যায়।",Cardiologist
"আমার হাত ও পায়ের নখগুলো নীলচে রঙের।",Cardiologist
"বুকের উপর যেন একটা ভারী পাথর রাখা আছে এমন মনে হয়।",Cardiologist
"আমার শ্বাস নিতে কষ্ট হয়, বিশেষ করে যখন শুয়ে থাকি।",Cardiologist
"কাশির সাথে আমার রক্ত যাচ্ছে।",Cardiologist
"বুকের ডান পাশেও এখন ব্যাথা করে।",Cardiologist
"আমার ঘাড়ের শিরাগুলো ফুলে উঠেছে।",Cardiologist
"আমার পেটে পানি জমেছে, পেটটা ফুলে গেছে।",Cardiologist
"টেনশন করলেই আমার বুকে ব্যাথা শুরু হয়।",Cardiologist
"আমার পায়ে একটা ঘা হয়েছে, যা কিছুতেই শুকাচ্ছে না।",Cardiologist
"আমার পায়ের শিরাগুলো দড়ির মতো ফুলে গেছে।",Cardiologist
"আমার বুকের গড়নটা কেমন যেন অস্বাভাবিক।",Cardiologist
"আমার নাড়ির গতি প্রতি মিনিটে ১০০ এর বেশি।",Cardiologist
"আমার নাড়ির গতি প্রতি মিনিটে ৬০ এর কম।",Cardiologist
"ব্লাড প্রেসার মাপার সময় রিডিং বারবার बदल যাচ্ছে।",Cardiologist
"জিহ্বার নিচে স্প্রে দিয়েও বুকের ব্যাথা কমছে না।",Cardiologist
"বুকের ব্যাথাটা আমার পিঠ পর্যন্ত ছড়িয়ে যাচ্ছে।",Cardiologist
"সিঁড়ি দিয়ে দোতলায় উঠতেই আমি হাঁপিয়ে যাই।",Cardiologist
"ডাক্তার আমাকে ওজন কমানোর পরামর্শ দিয়েছেন।",Cardiologist
"আমাকে লবণ খেতে নিষেধ করা হয়েছে।",Cardiologist
"ডাক্তার বলেছেন গরুর মাংস এড়িয়ে চলতে।",Cardiologist
"আমাকে প্রতিদিন সকালে হাঁটার জন্য বলা হয়েছে।",Cardiologist
"ডাক্তার বলেছেন কোনো প্রকার মানসিক চাপ না নিতে।",Cardiologist
"আমাকে পুরোপুরিভাবে ধূমপান ছেড়ে দিতে বলা হয়েছে।",Cardiologist
"আমার শরীরে রক্ত ​​খুব কম।",Cardiologist
"আমার গর্ভাবস্থায় প্রেসার খুব বেড়ে গিয়েছিল।",Cardiologist
"মেনোপজের পর থেকে আমার হার্টের সমস্যা বেড়েছে।",Cardiologist
"রাতে আমাকে বেশ কয়েকবার প্রস্রাবের জন্য উঠতে হয়।",Cardiologist
"আমার পায়ে প্রায়ই ঝিনঝিন করে।",Cardiologist
"মাঝে মাঝে আমার পা অবশ হয়ে যায়।",Cardiologist
"বুকের ব্যাথার সাথে আমার ঘাম হচ্ছে এবং বমিও আসছে।",Cardiologist
"বিশ্রাম নিলেও আমার বুকের ব্যাথা কমছে না।",Cardiologist
"আমার মনে হচ্ছে হার্ট অ্যাটাকের লক্ষণ দেখা দিচ্ছে।",Cardiologist
"আমার একবার স্ট্রোক হয়েছিল।",Cardiologist
"আমার শরীরের ডান পাশটা অবশ।",Cardiologist
"আমার কথা বলতে খুব কষ্ট হচ্ছে।",Cardiologist
"আমার হঠাৎ করে তীব্র মাথা ব্যাথা শুরু হয়েছে।",Cardiologist
"বুকের ব্যাথার জন্য আমাকে হাসপাতালে ভর্তি হতে হয়েছিল।",Cardiologist
"আমার করোনারি আর্টারি ডিজিজ ধরা পড়েছে।",Cardiologist
"ডাক্তার বলেছেন আমার হার্ট ফেইলিওর হয়েছে।",Cardiologist
"আমার পায়ে রক্ত ​​জমাট বেঁধে গেছে।",Cardiologist
"আমার ফুসফুসে রক্ত ​​জমাট বেঁধেছিল।",Cardiologist
"আমার পেরিফেরাল আর্টারি ডিজিজ আছে।",Cardiologist
"আমার রেনাল আর্টারি স্টেনোসিস হয়েছে।",Cardiologist
"আমার ক্যারোটিড আর্টারিতে ব্লক আছে।",Cardiologist
"আমার হার্টের ভাল্ভ পরিবর্তন করা হয়েছে।",Cardiologist
"আমার হার্টের ভাল্ভ মেরামত করা হয়েছে।",Cardiologist
"আমার অ্যাবলেশন থেরাপি করা হয়েছিল।",Cardiologist
"আমি এখন কার্ডিয়াক রিহ্যাবিলিটেশনে আছি।",Cardiologist
"ডাক্তার আমাকে জীবনযাত্রায় পরিবর্তন আনতে বলেছেন।",Cardiologist
"এই ঔষধটি খাওয়ার পর আমার কিছু সমস্যা হচ্ছে।",Cardiologist
"নতুন একটি ঔষধ শুরু করার আগে আমি আপনার পরামর্শ নিতে চাই।",Cardiologist
"বুক ব্যাথা উঠলে আমার কি করা উচিত তা জানতে চাই।",Cardiologist
"কিভাবে আমি হৃদরোগ প্রতিরোধ করতে পারি?",Cardiologist
