Problem,Specialist
"পিরিয়ডের পরে সাদা স্রাব বেড়ে যায়।",Gynecologist
"প্রেগন্যান্সির সময় চোখে ঝাপসা দেখি।",Gynecologist
"আমার গর্ভাবস্থায় ফোলাভাব বেশি।",Gynecologist
"প্রেগন্যান্সির সময় কাঁধ ও ঘাড় ব্যথা হয়।",Gynecologist
"মাসিকের সময় রক্তের রং গাঢ় ও কালচে হয়।",Gynecologist
"পিরিয়ড বন্ধ হয়ে যাওয়ার পর গরম লাগে শরীরে।",Gynecologist
"গর্ভধারণের জন্য ওভুলেশন কবে হয় জানতে চাই।",Gynecologist
"আমি সন্তান নেওয়ার পর গর্ভনিরোধক শুরু করতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় ঘাড়ে ব্যথা হচ্ছে।",Gynecologist
"পিরিয়ডের সময় মাথার চুল বেশি পড়ে।",Gynecologist
"প্রসবের পরে যোনি থেকে রক্ত পড়ছে।",Gynecologist
"আমি পিরিয়ডের সময় খুব বেশি রাগান্বিত হয়ে পড়ি।",Gynecologist
"গর্ভাবস্থায় যৌন ইচ্ছা কমে গেছে।",Gynecologist
"আমি গর্ভবতী, কিন্তু ডায়াবেটিস ধরা পড়েছে।",Gynecologist
"প্রেগন্যান্সির সময় সবসময় বমি ভাব লাগে।",Gynecologist
"আমার প্রেগন্যান্সিতে ঘুম ঠিকমতো হয় না।",Gynecologist
"গর্ভাবস্থায় সোজা হয়ে বসতে পারি না।",Gynecologist
"আমি সন্তান নিতে চাই না, দীর্ঘমেয়াদি গর্ভনিরোধক চাই।",Gynecologist
"পিরিয়ড শুরু হবার আগে স্তনে ব্যথা হয়।",Gynecologist
"প্রসবের সময় আমার তীব্র রক্তপাত হয়েছিল।",Gynecologist
"গর্ভধারণের পর থেকে মুখে র‌্যাশ উঠছে।",Gynecologist
"আমি প্রেগন্যান্সিতে হঠাৎ ওজন বেড়ে যাচ্ছে।",Gynecologist
"মাসিকের সময় খুব দুর্বল লাগছে।",Gynecologist
"আমার সিজারের পর ক্ষততে ইনফেকশন হয়েছে।",Gynecologist
"আমি প্রেগন্যান্সির ৮ মাসে আছি, বাচ্চার নড়াচড়া কমে গেছে।",Gynecologist
"মাসিকের সময় তলপেট ফুলে যায়।",Gynecologist
"পিরিয়ডের সময় রক্ত গাঢ় বাদামি রঙের হয়।",Gynecologist
"গর্ভধারণের পরে শরীর খুব ক্লান্ত লাগে।",Gynecologist
"আমি জন্মনিয়ন্ত্রণ পিল খাওয়ার পরেও প্রেগন্যান্ট হয়ে গেছি।",Gynecologist
"মাসিক আসার কয়েকদিন আগে শরীরে ফুসকুড়ি হয়।",Gynecologist
"আমি নিয়মিত পিরিয়ড পাই না।",Gynecologist
"আমি সন্তান নেওয়ার আগেই স্বাস্থ্য পরীক্ষা করাতে চাই।",Gynecologist
"প্রেগন্যান্সির শুরুতে খুব দুর্বল লাগে।",Gynecologist
"পিরিয়ডের সময় নিচের পিঠে ব্যথা হয়।",Gynecologist
"আমি ইমপ্লান্ট পদ্ধতি নিয়ে জানতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় ব্যথানাশক খাওয়া নিরাপদ কিনা জানি না।",Gynecologist
"আমার গর্ভাবস্থায় নাভির নিচে ব্যথা হয়।",Gynecologist
"আমি এক মাস প্রেগন্যান্ট, কিন্তু রক্তপাত হচ্ছে।",Gynecologist
"আমি প্রথমবার মা হতে যাচ্ছি, পরামর্শ চাই।",Gynecologist
"পিরিয়ড চলাকালীন শারীরিক সম্পর্ক করলে সমস্যা হয় কি না জানতে চাই।",Gynecologist
"আমি গর্ভপাত থেকে ভয় পাচ্ছি কারণ আগে একবার হয়েছিল।",Gynecologist
"প্রেগন্যান্সির সময় রক্তে শর্করা বেড়ে গেছে।",Gynecologist
"আমি প্রেগন্যান্সিতে বুক ধরফর অনুভব করি।",Gynecologist
"গর্ভাবস্থায় মুখে দাগ পড়ে গেছে।",Gynecologist
"মাসিকের আগে পেট ফাঁপা লাগে।",Gynecologist
"আমি দীর্ঘমেয়াদি গর্ভনিরোধক পদ্ধতি খুঁজছি।",Gynecologist
"প্রেগন্যান্সির সময় সবসময় মাথা ঘোরে।",Gynecologist
"আমি প্রেগন্যান্সিতে ব্যাকপেইনে ভুগছি।",Gynecologist
"সন্তান নেবার পর থেকে মাসিক অনিয়মিত হয়ে গেছে।",Gynecologist
"প্রেগন্যান্সিতে শরীরে পানি ধরে যাচ্ছে।",Gynecologist
"মাসিকের সময় চোখের নিচে কালো ছোপ পড়ে।",Gynecologist
"আমার ওভারি ফুলে গেছে বলে মনে হয়।",Gynecologist
"গর্ভাবস্থায় মুখে অ্যালার্জির মতো সমস্যা হয়েছে।",Gynecologist
"আমি ডেলিভারির আগেই প্রসব বেদনায় ভুগছি।",Gynecologist
"মাসিকের রক্তে গন্ধ বেশি হয়।",Gynecologist
"আমি পিরিয়ড বন্ধ করার স্থায়ী সমাধান চাই।",Gynecologist
"গর্ভাবস্থায় গ্যাসের সমস্যা বেড়ে গেছে।",Gynecologist
"আমি সন্তান নেওয়ার পরে ইউরিন ইনফেকশন পেয়েছি।",Gynecologist
"মাসিকের সময় স্রাবের রঙ অস্বাভাবিক হয়।",Gynecologist
"আমি একাধিকবার গর্ভপাত করেছি।",Gynecologist
"মাসিকের সময় অতিরিক্ত তন্দ্রাভাব হয়।",Gynecologist
"গর্ভাবস্থায় গলা শুকিয়ে যায় সবসময়।",Gynecologist
"প্রেগন্যান্সির সময় কোমরে ও ঘাড়ে চাপ লাগে।",Gynecologist
"পিরিয়ডের সময় ঘাড় শক্ত হয়ে যায়।",Gynecologist
"আমার স্তনের একটি পাশে ব্যথা অনুভব করি।",Gynecologist
"সন্তান জন্মের পর যৌন জীবনে সমস্যা হচ্ছে।",Gynecologist
"প্রেগন্যান্সির সময় ডায়াবেটিস নিয়ন্ত্রণ করতে পারছি না।",Gynecologist
"আমি প্রেগন্যান্ট কিন্তু ওজন অনেক কমে যাচ্ছে।",Gynecologist
"গর্ভাবস্থায় আমার গলা ব্যথা ও কাশি হচ্ছে।",Gynecologist
"মাসিক চলাকালে ঘুম আসতে চায় না।",Gynecologist
"আমি সন্তান নেবার পরিকল্পনায় ভিটামিন নিতে চাই।",Gynecologist
"গর্ভধারণের পর থেকেই সব খাবারে গন্ধ লাগে।",Gynecologist
"আমি সন্তান নেবার ৩ বছর পরেও মাসিক অনিয়মিত।",Gynecologist
"প্রেগন্যান্সির সময় বুক ফুলে যায় এবং ব্যথা হয়।",Gynecologist
"মাসিকের রক্তপাত একদিন হয় আবার বন্ধ হয়ে যায়।",Gynecologist
"আমার বয়স ৩৮, সন্তান নিতে ভয় পাচ্ছি।",Gynecologist
"আমি পিরিয়ড ছাড়াই প্রেগন্যান্সি টেস্ট পজিটিভ পেয়েছি।",Gynecologist
"গর্ভধারণের ২ মাস পরেও বমি থামছে না।",Gynecologist
"প্রেগন্যান্সির সময় গলা শুকিয়ে খুব অস্বস্তি লাগে।",Gynecologist
"আমি প্রথম সন্তান হওয়ার পর বিষণ্ণতায় ভুগেছি।",Gynecologist
"গর্ভাবস্থায় ত্বকে চুলকানি হচ্ছে খুব।",Gynecologist
"পিরিয়ড চলাকালে শরীর গরম হয়ে যায়।",Gynecologist
"গর্ভধারণের পর থেকে রাত্রে ঘুম আসে না।",Gynecologist
"মাসিকের সময় হাত-পা ব্যথা হয়।",Gynecologist
"প্রেগন্যান্সির সময় সবসময় ক্লান্তি লাগে।",Gynecologist
"আমি দীর্ঘদিন ধরে মাসিকজনিত মানসিক সমস্যায় ভুগছি।",Gynecologist
"পিরিয়ডের সময় পেটে ব্যথার সাথে বমিও হয়।",Gynecologist
"প্রেগন্যান্সির সময় অতিরিক্ত লাল স্রাব হয়।",Gynecologist
"গর্ভাবস্থায় দাঁতে ব্যথা শুরু হয়েছে।",Gynecologist
"প্রেগন্যান্সিতে মুখ শুকিয়ে অস্বস্তি লাগে।",Gynecologist
"আমি প্রেগন্যান্ট কিনা জানার জন্য রক্ত পরীক্ষা করতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় যৌন ইচ্ছা একদম চলে গেছে।",Gynecologist
"আমি জন্ম নিয়ন্ত্রণ ইনজেকশন বন্ধ করেছি, এখন মাসিক নেই।",Gynecologist
"প্রেগন্যান্সিতে গ্যাস ও বুক জ্বালাপোড়ার সমস্যা হচ্ছে।",Gynecologist
"প্রসবের সময় ঘাড়ে তীব্র ব্যথা হয়েছিল।",Gynecologist
"গর্ভাবস্থায় শরীরে ব্যথা ও জ্বর হয় মাঝেমধ্যে।",Gynecologist
"পিরিয়ডের সময় স্তনে অস্বাভাবিক চাপ অনুভব করি।",Gynecologist
"গর্ভাবস্থায় যোনিতে জ্বালা অনুভব করি।",Gynecologist
"মাসিক শুরু হবার আগে মুখে ব্রণ ওঠে।",Gynecologist
"আমি প্রেগন্যান্সির শেষদিকে খেতে পারি না।",Gynecologist
"প্রেগন্যান্সির সময় কোমর শক্ত হয়ে যায়।",Gynecologist
"গর্ভাবস্থায় অতিরিক্ত ঘুম আসে।",Gynecologist
"আমি সন্তান নেওয়ার পর নিয়মিত চেকআপ করতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় চোখ ভারী হয়ে থাকে।",Gynecologist
"গর্ভাবস্থায় পেটের ডান পাশে চাপ লাগে।",Gynecologist
"প্রেগন্যান্সির সময় বুক ধড়ফড় করে হঠাৎ।",Gynecologist
"আমি গর্ভাবস্থায় ক্যালসিয়াম সাপ্লিমেন্ট নিতে চাই।",Gynecologist
"প্রেগন্যান্সিতে হালকা রক্তপাত হলে কী করা উচিত?",Gynecologist
"মাসিকের সময় হঠাৎ শরীর ঠান্ডা হয়ে যায়।",Gynecologist
"প্রেগন্যান্সির সময় হাড় ব্যথা বেশি হয়।",Gynecologist
"সন্তান হওয়ার পরে স্তন দুধ আসছে না।",Gynecologist
"আমি প্রেগন্যান্সির সময়ে রক্তস্বল্পতায় ভুগছি।",Gynecologist
"পিরিয়ডের কয়েকদিন আগে থেকেই মাথাব্যথা শুরু হয়।",Gynecologist
"আমার মাসিকের রক্তপাত মাঝখানে থেমে আবার শুরু হয়।",Gynecologist
"প্রেগন্যান্সির সময় কোমরে ঠান্ডা অনুভব করি।",Gynecologist
"আমি সন্তান নেওয়ার পর থেকে যৌন ইচ্ছা কমে গেছে।",Gynecologist
"প্রেগন্যান্সির সময় ত্বক ফেটে যাচ্ছে।",Gynecologist
"পিরিয়ডের সময় পিঠে গরম লাগার মতো অনুভব করি।",Gynecologist
"আমি দ্বিতীয় বাচ্চার আগে হরমোন পরীক্ষা করাতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় মুখে রঙ পরিবর্তন হচ্ছে।",Gynecologist
"মাসিকের সময় নাভির নিচে হালকা টান লাগে।",Gynecologist
"আমি জন্মনিয়ন্ত্রণ পিলের পার্শ্বপ্রতিক্রিয়ায় ভুগছি।",Gynecologist
"গর্ভাবস্থায় ঘুমের মধ্যে পায়ে ব্যথা হয়।",Gynecologist
"পিরিয়ড শুরু হলে হঠাৎ ডায়রিয়া হয়।",Gynecologist
"প্রেগন্যান্সির সময় নাক দিয়ে রক্ত পড়ে।",Gynecologist
"আমি গর্ভাবস্থায় সবসময় কাঁদতে ইচ্ছা করে।",Gynecologist
"পিরিয়ড বন্ধ হওয়ার পর গলার স্বর বদলে গেছে।",Gynecologist
"আমি মাসিকের সময় হরমোনাল ইমব্যালেন্সে ভুগি।",Gynecologist
"গর্ভাবস্থায় পায়ের তালু জ্বালা করে।",Gynecologist
"সন্তান জন্মের পর রক্তস্বল্পতা হয়েছে।",Gynecologist
"আমি প্রেগন্যান্সির সময় দম বন্ধ হয়ে আসে এমন অনুভব করি।",Gynecologist
"পিরিয়ডের সময় হাত পা জড়সড় হয়ে যায়।",Gynecologist
"গর্ভাবস্থায় খাওয়া-দাওয়া করলে বমি হয়।",Gynecologist
"সন্তান জন্মের পর স্তনের আকৃতি বদলে গেছে।",Gynecologist
"প্রেগন্যান্সির সময় চোখের নিচে ফুলে ওঠে।",Gynecologist
"মাসিকের সময় হাত-পায়ের আঙুল ব্যথা করে।",Gynecologist
"গর্ভধারণের আগে গর্ভাশয়ের অবস্থা জানতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় বুকে চাপ লাগে হঠাৎ।",Gynecologist
"গর্ভাবস্থায় অনেক কফ জমে যায়।",Gynecologist
"মাসিকের সময় সারা শরীরে ব্যথা করে।",Gynecologist
"আমি হঠাৎ করে মাসিক ছাড়াই রক্তক্ষরণ দেখতে পাচ্ছি।",Gynecologist
"প্রেগন্যান্সির সময় গ্যাস হলে বুক ধড়ফড় করে।",Gynecologist
"গর্ভাবস্থায় দাঁড়াতে গেলে মাথা ঘোরে।",Gynecologist
"আমি প্রেগন্যান্সির সময় গন্ধ সহ্য করতে পারি না।",Gynecologist
"পিরিয়ডের আগে চোখে পানি এসে যায়।",Gynecologist
"প্রেগন্যান্সিতে পায়ের পাতায় ফোলা ভাব দেখা যায়।",Gynecologist
"গর্ভাবস্থায় ওজন খুব বেড়ে গেছে, এটা কি ঝুঁকিপূর্ণ?",Gynecologist
"আমি সন্তান নেওয়ার পর যৌন মিলনে অস্বস্তি অনুভব করি।",Gynecologist
"পিরিয়ডের সময় হঠাৎ মাথা ঘুরে পড়ে যাই।",Gynecologist
"আমি প্রেগন্যান্ট, কিন্তু ডাক্তারের পরামর্শ নিতে ভয় পাচ্ছি।",Gynecologist
"গর্ভধারণের সময় নিয়মিত চেকআপ করাতে চাই।",Gynecologist
"পিরিয়ডের সময় মুখে তিতা ভাব লাগে।",Gynecologist
"সন্তান জন্মের পর কোমরের ব্যথা থেকে যাচ্ছে।",Gynecologist
"প্রেগন্যান্সির সময় হালকা রক্ত দেখলে কী করব?",Gynecologist
"মাসিকের সময় শরীর খুব ঠান্ডা লাগে।",Gynecologist
"গর্ভাবস্থায় নিয়মিত হাঁটা কতটা দরকার?",Gynecologist
"পিরিয়ড চলাকালীন পায়ের হাড় ব্যথা করে।",Gynecologist
"আমি বিয়ের অনেক বছর পরও সন্তান নিতে পারছি না।",Gynecologist
"প্রেগন্যান্সির সময় শ্বাস বন্ধ হয়ে আসে।",Gynecologist
"পিরিয়ডের সময় খুব অস্থিরতা লাগে।",Gynecologist
"গর্ভাবস্থায় রাতে ঘুমাতে পারি না।",Gynecologist
"পিরিয়ডের সময় শরীরের তাপমাত্রা বাড়ে।",Gynecologist
"আমি সন্তান নেওয়ার আগে গর্ভাশয়ের পরীক্ষা করাতে চাই।",Gynecologist
"প্রেগন্যান্সির সময় হঠাৎ ত্বকে ফুসকুড়ি হয়।",Gynecologist
"গর্ভাবস্থায় খুব ঘাম হয়, বিশেষ করে রাতে।",Gynecologist
"পিরিয়ড শুরু হলে হালকা জ্বর থাকে।",Gynecologist
"আমি সন্তান নেওয়ার পর থেকে সবসময় ক্লান্ত বোধ করি।",Gynecologist
"গর্ভাবস্থায় সিঁড়ি ভাঙলে পেট ব্যথা হয়।",Gynecologist
"প্রেগন্যান্সির সময় রাতে প্রস্রাবে বারবার উঠতে হয়।",Gynecologist
"গর্ভাবস্থায় ঘাড় শক্ত হয়ে যায় মাঝে মাঝে।",Gynecologist
"পিরিয়ডের সময় কানে ব্যথা হয়।",Gynecologist
"আমি সন্তান নেওয়ার পর থেকে অনিদ্রায় ভুগছি।",Gynecologist
"প্রেগন্যান্সির সময় ঠান্ডা লাগলে কী করা উচিত?",Gynecologist
"গর্ভাবস্থায় বুকের নিচে চাপ লাগে।",Gynecologist
"পিরিয়ডের আগে মন খারাপ হয়ে যায় সবসময়।",Gynecologist
"আমি গর্ভাবস্থায় মাথা ঝিম ঝিম অনুভব করি।",Gynecologist
"মাসিক আসার সময় বুকে ভারী ভারী লাগে।",Gynecologist
"প্রেগন্যান্সিতে খাবার খেলে বমি চলে আসে।",Gynecologist
